country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-12-2025 20:00:00",16.9872867,81.7363176,PM10,86,208,125
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-12-2025 20:00:00",16.9872867,81.7363176,NO2,16,114,45
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-12-2025 20:00:00",16.9872867,81.7363176,SO2,3,35,18
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-12-2025 20:00:00",16.9872867,81.7363176,CO,22,80,34
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","13-12-2025 20:00:00",13.615387,79.409230,NO2,13,17,15
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","13-12-2025 20:00:00",13.615387,79.409230,OZONE,16,17,16
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","13-12-2025 20:00:00",16.536107,80.594233,OZONE,18,38,30
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","13-12-2025 20:00:00",25.251013,86.989001,PM10,31,159,102
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","13-12-2025 20:00:00",25.265194,87.012947,PM2.5,15,193,102
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","13-12-2025 20:00:00",25.265194,87.012947,NH3,7,14,10
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","13-12-2025 20:00:00",25.265194,87.012947,CO,50,101,73
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","13-12-2025 20:00:00",25.204762,85.514960,PM2.5,60,356,207
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","13-12-2025 20:00:00",25.204762,85.514960,PM10,48,209,117
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","13-12-2025 20:00:00",25.204762,85.514960,CO,2,114,15
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","13-12-2025 20:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","13-12-2025 20:00:00",25.560083,87.553265,CO,38,72,51
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","13-12-2025 20:00:00",25.560083,87.553265,OZONE,4,7,6
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","13-12-2025 20:00:00",26.0881305,87.93840336,NO2,9,13,11
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","13-12-2025 20:00:00",27.308328,84.531742,PM10,39,149,75
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","13-12-2025 20:00:00",27.308328,84.531742,CO,31,33,32
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","13-12-2025 20:00:00",27.103358,93.679645,CO,7,62,23
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","13-12-2025 20:00:00",27.103358,93.679645,OZONE,5,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-12-2025 20:00:00",26.071318,91.87488,PM2.5,114,319,173
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-12-2025 20:00:00",26.071318,91.87488,PM10,81,154,101
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-12-2025 20:00:00",26.071318,91.87488,SO2,5,12,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","13-12-2025 20:00:00",26.146529,87.454184,CO,4,47,23
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","13-12-2025 20:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","13-12-2025 20:00:00",25.5626095,84.663264,SO2,8,10,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","13-12-2025 20:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","13-12-2025 20:00:00",24.75746,84.366208,NO2,7,8,8
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","13-12-2025 20:00:00",16.5150833,80.5181667,OZONE,1,64,45
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","13-12-2025 20:00:00",13.204880,79.097889,PM10,21,450,127
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","13-12-2025 20:00:00",13.204880,79.097889,CO,21,57,27
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","13-12-2025 20:00:00",14.465052,78.824187,PM10,32,136,77
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","13-12-2025 20:00:00",26.349082,92.68449,NO2,1,2,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","13-12-2025 20:00:00",26.349082,92.68449,OZONE,8,11,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","13-12-2025 20:00:00",24.82827,92.79525,NO2,17,21,19
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","13-12-2025 20:00:00",26.987634,94.636574,NH3,4,19,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","13-12-2025 20:00:00",25.567520,83.966379,SO2,5,10,7
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","13-12-2025 20:00:00",24.792403,84.992416,NH3,4,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","13-12-2025 20:00:00",24.792403,84.992416,SO2,15,18,16
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-12-2025 20:00:00",24.762518,84.982348,NH3,3,4,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","13-12-2025 20:00:00",16.509717,80.612222,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","13-12-2025 20:00:00",16.554731,80.649110,PM10,47,58,50
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","13-12-2025 20:00:00",16.554731,80.649110,SO2,13,17,15
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","13-12-2025 20:00:00",11.654054,92.734055,PM2.5,26,38,29
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","13-12-2025 20:00:00",26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","13-12-2025 20:00:00",26.1403345,85.3650192,CO,43,68,65
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-12-2025 20:00:00",26.1209,85.3647,SO2,5,6,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-12-2025 20:00:00",25.592539,85.227158,CO,62,190,92
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-12-2025 20:00:00",25.610369,85.132568,NO2,1,19,12
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-12-2025 20:00:00",25.610369,85.132568,SO2,1,31,18
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-12-2025 20:00:00",25.610369,85.132568,OZONE,28,31,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-12-2025 20:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-12-2025 20:00:00",25.599486,85.113666,CO,7,126,60
India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-12-2025 20:00:00",25.596727,85.085624,CO,14,156,92
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","13-12-2025 20:00:00",25.366336,87.117468,OZONE,19,28,23
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-12-2025 20:00:00",21.194815,81.314770,PM2.5,16,46,28
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-12-2025 20:00:00",21.194815,81.314770,SO2,5,60,18
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","13-12-2025 20:00:00",21.185571,81.343175,CO,21,22,21
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","13-12-2025 20:00:00",22.08815,82.13737,NO2,19,71,29
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-12-2025 20:00:00",25.376776,86.471523,PM10,43,161,113
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-12-2025 20:00:00",25.376776,86.471523,CO,12,48,29
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","13-12-2025 20:00:00",26.1403345,85.3650192,PM2.5,92,117,108
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-12-2025 20:00:00",30.751462,76.762879,SO2,7,12,9
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-12-2025 20:00:00",30.751462,76.762879,CO,55,111,68
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","13-12-2025 20:00:00",30.719859,76.738637,PM10,55,183,102
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","13-12-2025 20:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","13-12-2025 20:00:00",25.859655,85.77944,OZONE,8,9,8
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-12-2025 20:00:00",26.63086,84.90051,PM2.5,25,200,83
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","13-12-2025 20:00:00",26.2271665,84.3570427,CO,27,30,29
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-12-2025 20:00:00",26.63086,84.90051,NH3,3,3,3
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","13-12-2025 20:00:00",22.08815,82.13737,CO,16,107,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","13-12-2025 20:00:00",22.118125,83.140608,NO2,8,25,12
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","13-12-2025 20:00:00",22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","13-12-2025 20:00:00",22.368195,82.746431,PM2.5,49,86,51
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","13-12-2025 20:00:00",22.368195,82.746431,SO2,10,16,14
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","13-12-2025 20:00:00",22.348441,82.549611,NO2,16,31,26
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","13-12-2025 20:00:00",22.348441,82.549611,SO2,3,29,12
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","13-12-2025 20:00:00",22.126650,83.483212,CO,15,42,23
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","13-12-2025 20:00:00",28.5627763,77.1180053,OZONE,5,105,58
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-12-2025 20:00:00",28.6811736,77.3025234,PM2.5,47,500,251
